Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
metacafe.com,0,0,1,3,0,0,0,0,4.566266383982756,2.918295834054489,0,7,0,0.0,-1,1,1,1,1,0
tvguide.com,0,0,1,3,0,0,0,0,4.5035292601156796,3.459431618637298,0,6,0,0.0,-1,0,0,1,0,0
hubbellhaps.blogspot.com,0,0,0,0,0,0,1,0,3.924348635314499,3.6572682296173893,1,0,0,0.0,-1,1,1,1,1,0
johnmceuen.com,0,0,0,0,0,0,0,0,3.81008102052173,3.09306920777189,0,0,0,0.0,-1,1,0,1,0,0
hindisong.com,0,0,1,2,0,0,0,0,4.842915922381359,3.238901256602631,0,7,3,0.10294117647058823,-1,1,0,1,0,0
tootoo.com,0,0,0,1,0,0,0,0,4.325313793475193,1.9609640474436811,0,0,0,0.0,-1,1,1,1,1,0
phenomenauts.com,0,0,0,1,0,0,0,0,3.7527243339694962,3.5,0,0,0,0.0,-1,1,0,1,0,0
johnbetts-fineminerals.com,0,0,1,3,0,0,0,1,4.52366195461367,3.95006375643621,0,5,0,0.0,-1,1,1,1,1,0
juggle.com,0,0,0,1,0,0,0,0,4.381620107948734,3.1219280948873624,0,0,0,0.0,-1,1,1,1,1,0
baseball-almanac.com,0,0,1,2,0,0,0,1,4.317165932643555,3.2037016960573483,0,2,1,0.0,-1,1,0,1,0,0
simonsaysroses.com,0,0,1,1,0,0,0,0,4.062419087268545,3.1496734471867414,0,0,0,0.0,-1,1,0,1,0,0
uk.ask.com,0,0,0,2,0,0,0,0,4.259514199528965,2.9219280948873623,1,0,0,0.04878048780487805,-1,1,1,1,1,0
mobikefed.org,0,0,1,3,0,0,0,0,4.549633693093979,3.3927474104487847,0,6,0,0.0,-1,1,0,1,0,0
nolimitsav.net,0,0,0,0,0,0,0,0,3.8100810205217304,3.378783493486176,0,0,0,0.0,-1,0,0,1,0,0
youtube.com,0,0,0,1,0,0,0,0,4.5165109063587545,3.095795255000934,0,1,1,0.11627906976744186,-1,0,0,1,0,0
imdb.com,0,0,0,2,0,0,0,0,4.243628103911205,2.75,0,7,0,0.0,-1,1,0,1,0,0
willyson.com,0,0,0,1,0,0,0,0,4.224751985026256,3.2516291673878226,0,2,1,0.0,-1,1,0,1,0,0
123people.ca,0,0,0,2,0,0,0,0,4.0643546249021565,3.2516291673878226,0,3,1,0.0,-1,1,0,1,0,0
facebook.com,0,0,1,3,0,0,0,0,4.611565233022162,3.0220552088742005,0,15,0,0.03636363636363636,-1,1,0,1,0,0
linkedin.com,0,0,0,4,0,0,0,0,4.2544418457133455,3.2516291673878226,0,0,0,0.0,-1,1,0,1,0,0
modelmayhem.com,0,0,0,1,0,0,0,0,4.160704752887783,3.106890595608519,0,6,0,0.0,-1,0,0,1,0,0
youtube.com,0,0,0,1,0,0,0,0,4.6180115569773665,3.095795255000934,0,3,1,0.11627906976744186,-1,0,0,1,0,0
conchitaespinosa.com,0,0,0,2,0,0,0,0,4.06289147641505,3.4464393446710155,0,0,0,0.0,-1,1,1,1,0,0
thefreelibrary.com,0,0,1,1,0,0,0,0,4.748848930894366,3.6416041678685938,0,10,1,0.03389830508474576,-1,1,0,1,0,0
radiowavesinc.com,0,0,1,6,0,0,0,0,4.7464693017764,3.6168746059562222,0,5,10,0.1223021582733813,-1,1,1,1,1,0
itftennis.com,0,0,1,3,0,0,0,0,4.570652950423753,3.238901256602631,0,9,1,0.0,-1,0,0,1,0,0
medal-of-honor.findthebest.com,0,0,1,3,0,0,1,1,4.400032218700115,3.9483943455364034,1,0,0,0.027777777777777776,-1,1,1,1,1,0
nantibo.philgay.qc.ca,0,0,0,2,0,0,0,0,4.295746773031725,3.6537567082870015,2,3,0,0.0,-1,1,1,1,1,0
encyclopedia.farlex.com,0,0,1,1,0,0,1,0,4.33961192730122,3.7622673906514943,1,0,2,0.04918032786885246,-1,1,1,1,1,0
celticcousins.net,0,0,0,2,0,0,0,0,4.070982616074133,3.2195282822995477,0,1,0,0.0,-1,1,1,1,1,0
last.fm,0,0,0,4,0,0,0,0,4.483435631311394,2.8073549220576046,0,0,3,0.09615384615384616,-1,1,0,1,0,0
regus.com,0,0,1,5,0,0,0,0,4.369188455528956,3.169925001442312,0,0,0,0.13157894736842105,-1,0,0,1,0,0
mylife.com,0,0,0,1,0,0,0,0,4.031401845392172,3.1219280948873624,0,0,0,0.0,-1,1,0,1,0,0
insidecollegehockey.com,0,0,1,5,0,0,0,0,4.525058731654704,3.588354347173233,0,8,0,0.0,-1,1,0,1,0,0
metrolyrics.com,0,0,0,1,0,0,0,0,4.32596267109531,3.3735572622751855,0,0,0,0.0,-1,1,1,1,1,0
hernebayculturaltrail.co.uk,0,0,0,0,0,0,0,0,4.139822782008755,3.7541634277688805,1,0,0,0.0,-1,1,1,1,1,0
powerplantjobs.com,0,0,1,2,0,0,0,0,4.877193622208904,3.7946534735443422,0,11,9,0.06818181818181818,-1,1,1,1,1,0
snooth.com,0,0,1,2,0,0,0,0,4.382583838107301,2.8464393446710154,0,4,0,0.0,-1,1,0,1,0,0
famouswhy.com,0,0,0,3,0,0,0,0,4.379449119468085,3.3927474104487847,0,3,0,0.043478260869565216,-1,1,0,1,0,0
apf.org.py,0,0,0,1,0,0,0,0,3.7671834678914613,2.9219280948873623,1,0,0,0.038461538461538464,-1,1,0,1,0,0
airlink101.com,0,0,0,1,0,0,0,0,4.150292659616669,3.5216406363433186,0,3,0,0.0,-1,1,0,1,0,0
mlahanas.de,0,0,1,3,0,0,0,0,4.322471877933251,3.027169118440619,0,0,0,0.09090909090909091,-1,1,1,1,1,0
crisisgroup.org,0,0,1,6,0,0,0,0,4.304381975828461,3.056564762130954,0,0,0,0.0,-1,1,0,1,0,0
keyserlingk.info,0,0,1,1,0,0,0,0,4.90149520110599,3.5,0,0,3,0.1746031746031746,-1,1,0,1,0,0
